"","Year","Name","Movie","Award","Win"
"520","1960","Melina Mercouri","Never on Sunday","Actress","Lost"
"521","1961","Sophia Loren","Two Women","Actress","Won"
"522","1961","Audrey Hepburn","Breakfast at Tiffany's","Actress","Lost"
"523","1961","Piper Laurie","The Hustler","Actress","Lost"
"524","1961","Geraldine Page","Summer and Smoke","Actress","Lost"
"525","1961","Natalie Wood","Splendor in the Grass","Actress","Lost"
"526","1962","Anne Bancroft","The Miracle Worker","Actress","Won"
"527","1962","Bette Davis","What Ever Happened to Baby Jane?","Actress","Lost"
"528","1962","Katharine Hepburn","Long Day's Journey into Night","Actress","Lost"
"529","1962","Geraldine Page","Sweet Bird of Youth","Actress","Lost"
"530","1962","Lee Remick","Days of Wine and Roses","Actress","Lost"
"531","1963","Patricia Neal","Hud","Actress","Won"
"532","1963","Leslie Caron","The L-Shaped Room","Actress","Lost"
"533","1963","Shirley MacLaine","Irma la Douce","Actress","Lost"
"534","1963","Rachel Roberts","This Sporting Life","Actress","Lost"
"535","1963","Natalie Wood","Love with the Proper Stranger","Actress","Lost"
"536","1964","Julie Andrews","Mary Poppins","Actress","Won"
"537","1964","Anne Bancroft","The Pumpkin Eater","Actress","Lost"
"538","1964","Sophia Loren","Marriage Italian Style","Actress","Lost"
"539","1964","Debbie Reynolds","The Unsinkable Molly Brown","Actress","Lost"
"540","1964","Kim Stanley","Séance on a Wet Afternoon","Actress","Lost"
"541","1965","Julie Christie","Darling","Actress","Won"
"542","1965","Julie Andrews","The Sound of Music","Actress","Lost"
"543","1965","Samantha Eggar","The Collector","Actress","Lost"
"544","1965","Elizabeth Hartman","A Patch of Blue","Actress","Lost"
"545","1965","Simone Signoret","Ship of Fools","Actress","Lost"
"546","1966","Elizabeth Taylor","Who's Afraid of Virginia Woolf?","Actress","Won"
"547","1966","Anouk Aimée","A Man and a Woman","Actress","Lost"
"548","1966","Ida Kamińska","The Shop on Main Street","Actress","Lost"
"549","1966","Lynn Redgrave","Georgy Girl","Actress","Lost"
"550","1966","Vanessa Redgrave","Morgan!","Actress","Lost"
"551","1967","Katharine Hepburn","Guess Who's Coming to Dinner","Actress","Won"
"552","1967","Anne Bancroft","The Graduate","Actress","Lost"
"553","1967","Faye Dunaway","Bonnie and Clyde","Actress","Lost"
"554","1967","Edith Evans","The Whisperers","Actress","Lost"
"555","1967","Audrey Hepburn","Wait Until Dark","Actress","Lost"
"556","1968","Katharine Hepburn[C]","The Lion in Winter","Actress","Won"
"557","1968","Barbra Streisand[C]","Funny Girl","Actress","Lost"
"558","1968","Patricia Neal","The Subject was Roses","Actress","Lost"
"559","1968","Vanessa Redgrave","Isadora","Actress","Lost"
"560","1968","Joanne Woodward","Rachel, Rachel","Actress","Lost"
"561","1969","Maggie Smith","The Prime of Miss Jean Brodie","Actress","Won"
"562","1969","Geneviève Bujold","Anne of the Thousand Days","Actress","Lost"
"563","1969","Jane Fonda","They Shoot Horses, Don't They?","Actress","Lost"
"564","1969","Liza Minnelli","The Sterile Cuckoo","Actress","Lost"
"565","1969","Jean Simmons","The Happy Ending","Actress","Lost"
"566","1970","Glenda Jackson","Women in Love","Actress","Won"
"567","1970","Jane Alexander","The Great White Hope","Actress","Lost"
"568","1970","Ali MacGraw","Love Story","Actress","Lost"
"569","1970","Sarah Miles","Ryan's Daughter","Actress","Lost"
"570","1970","Carrie Snodgress","Diary of a Mad Housewife","Actress","Lost"
"571","1971","Jane Fonda","Klute","Actress","Won"
"572","1971","Julie Christie","McCabe & Mrs. Miller","Actress","Lost"
"573","1971","Glenda Jackson","Sunday Bloody Sunday","Actress","Lost"
"574","1971","Vanessa Redgrave","Mary, Queen of Scots","Actress","Lost"
"575","1971","Janet Suzman","Nicholas and Alexandra","Actress","Lost"
"576","1972","Liza Minnelli","Cabaret","Actress","Won"
"577","1972","Diana Ross","Lady Sings the Blues","Actress","Lost"
"578","1972","Maggie Smith","Travels with My Aunt","Actress","Lost"
"579","1972","Cicely Tyson","Sounder","Actress","Lost"
"580","1972","Liv Ullmann","The Emigrants","Actress","Lost"
"581","1973","Glenda Jackson","A Touch of Class","Actress","Won"
"582","1973","Ellen Burstyn","The Exorcist","Actress","Lost"
"583","1973","Marsha Mason","Cinderella Liberty","Actress","Lost"
"584","1973","Barbra Streisand","The Way We Were","Actress","Lost"
"585","1973","Joanne Woodward","Summer Wishes, Winter Dreams","Actress","Lost"
"586","1974","Ellen Burstyn","Alice Doesn't Live Here Anymore","Actress","Won"
"587","1974","Diahann Carroll","Claudine","Actress","Lost"
"588","1974","Faye Dunaway","Chinatown","Actress","Lost"
"589","1974","Valerie Perrine","Lenny","Actress","Lost"
"590","1974","Gena Rowlands","A Woman Under the Influence","Actress","Lost"
"591","1975","Louise Fletcher","One Flew Over the Cuckoo's Nest","Actress","Won"
"592","1975","Isabelle Adjani","The Story of Adele H.","Actress","Lost"
"593","1975","Ann-Margret","Tommy","Actress","Lost"
"594","1975","Glenda Jackson","Hedda","Actress","Lost"
"595","1975","Carol Kane","Hester Street","Actress","Lost"
"596","1976","Faye Dunaway","Network","Actress","Won"
"597","1976","Marie-Christine Barrault","Cousin Cousine","Actress","Lost"
"598","1976","Talia Shire","Rocky","Actress","Lost"
"599","1976","Sissy Spacek","Carrie","Actress","Lost"
"600","1976","Liv Ullmann","Face to Face","Actress","Lost"
"601","1977","Diane Keaton","Annie Hall","Actress","Won"
"602","1977","Anne Bancroft","The Turning Point","Actress","Lost"
"603","1977","Jane Fonda","Julia","Actress","Lost"
"604","1977","Shirley MacLaine","The Turning Point","Actress","Lost"
"605","1977","Marsha Mason","The Goodbye Girl","Actress","Lost"
"606","1978","Jane Fonda","Coming Home","Actress","Won"
"607","1978","Ingrid Bergman","Autumn Sonata","Actress","Lost"
"608","1978","Ellen Burstyn","Same Time, Next Year","Actress","Lost"
"609","1978","Jill Clayburgh","An Unmarried Woman","Actress","Lost"
"610","1978","Geraldine Page","Interiors","Actress","Lost"
"611","1979","Sally Field","Norma Rae","Actress","Won"
"612","1979","Jill Clayburgh","Starting Over","Actress","Lost"
"613","1979","Jane Fonda","The China Syndrome","Actress","Lost"
"614","1979","Marsha Mason","Chapter Two","Actress","Lost"
"615","1979","Bette Midler","The Rose","Actress","Lost"
"616","1980","Sissy Spacek","Coal Miner's Daughter","Actress","Won"
"617","1980","Ellen Burstyn","Resurrection","Actress","Lost"
"618","1980","Goldie Hawn","Private Benjamin","Actress","Lost"
"619","1980","Mary Tyler Moore","Ordinary People","Actress","Lost"
"620","1980","Gena Rowlands","Gloria","Actress","Lost"
"621","1981","Katharine Hepburn","On Golden Pond","Actress","Won"
"622","1981","Diane Keaton","Reds","Actress","Lost"
"623","1981","Marsha Mason","Only When I Laugh","Actress","Lost"
"624","1981","Susan Sarandon","Atlantic City","Actress","Lost"
"625","1981","Meryl Streep","The French Lieutenant's Woman","Actress","Lost"
"626","1982","Meryl Streep","Sophie's Choice","Actress","Won"
"627","1982","Julie Andrews","Victor Victoria","Actress","Lost"
"628","1982","Jessica Lange","Frances","Actress","Lost"
"629","1982","Sissy Spacek","Missing","Actress","Lost"
"630","1982","Debra Winger","An Officer and a Gentleman","Actress","Lost"
"631","1983","Shirley MacLaine","Terms of Endearment","Actress","Won"
"632","1983","Jane Alexander","Testament","Actress","Lost"
"633","1983","Meryl Streep","Silkwood","Actress","Lost"
"634","1983","Julie Walters","Educating Rita","Actress","Lost"
"635","1983","Debra Winger","Terms of Endearment","Actress","Lost"
"636","1984","Sally Field","Places in the Heart","Actress","Won"
"637","1984","Judy Davis","A Passage to India","Actress","Lost"
"638","1984","Jessica Lange","Country","Actress","Lost"
"639","1984","Vanessa Redgrave","The Bostonians","Actress","Lost"
"640","1984","Sissy Spacek","The River","Actress","Lost"
"641","1985","Geraldine Page","The Trip to Bountiful","Actress","Won"
"642","1985","Anne Bancroft","Agnes of God","Actress","Lost"
"643","1985","Whoopi Goldberg","The Color Purple","Actress","Lost"
"644","1985","Jessica Lange","Sweet Dreams","Actress","Lost"
"645","1985","Meryl Streep","Out of Africa","Actress","Lost"
"646","1986","Marlee Matlin","Children of a Lesser God","Actress","Won"
"647","1986","Jane Fonda","The Morning After","Actress","Lost"
"648","1986","Sissy Spacek","Crimes of the Heart","Actress","Lost"
"649","1986","Kathleen Turner","Peggy Sue Got Married","Actress","Lost"
"650","1986","Sigourney Weaver","Aliens","Actress","Lost"
"651","1987","Cher","Moonstruck","Actress","Won"
"652","1987","Glenn Close","Fatal Attraction","Actress","Lost"
"653","1987","Holly Hunter","Broadcast News","Actress","Lost"
"654","1987","Sally Kirkland","Anna","Actress","Lost"
"655","1987","Meryl Streep","Ironweed","Actress","Lost"
"656","1988","Jodie Foster","The Accused","Actress","Won"
"657","1988","Glenn Close","Dangerous Liaisons","Actress","Lost"
"658","1988","Melanie Griffith","Working Girl","Actress","Lost"
"659","1988","Meryl Streep","A Cry in the Dark","Actress","Lost"
"660","1988","Sigourney Weaver","Gorillas in the Mist","Actress","Lost"
"661","1989","Jessica Tandy","Driving Miss Daisy","Actress","Won"
"662","1989","Isabelle Adjani","Camille Claudel","Actress","Lost"
"663","1989","Pauline Collins","Shirley Valentine","Actress","Lost"
"664","1989","Jessica Lange","Music Box","Actress","Lost"
"665","1989","Michelle Pfeiffer","The Fabulous Baker Boys","Actress","Lost"
"666","1990","Kathy Bates","Misery","Actress","Won"
"667","1990","Anjelica Huston","The Grifters","Actress","Lost"
"668","1990","Julia Roberts","Pretty Woman","Actress","Lost"
"669","1990","Meryl Streep","Postcards from the Edge","Actress","Lost"
"670","1990","Joanne Woodward","Mr. & Mrs. Bridge","Actress","Lost"
"671","1991","Jodie Foster","The Silence of the Lambs","Actress","Won"
"672","1991","Geena Davis","Thelma & Louise","Actress","Lost"
"673","1991","Laura Dern","Rambling Rose","Actress","Lost"
"674","1991","Bette Midler","For the Boys","Actress","Lost"
"675","1991","Susan Sarandon","Thelma & Louise","Actress","Lost"
"676","1992","Emma Thompson","Howards End","Actress","Won"
"677","1992","Catherine Deneuve","Indochine","Actress","Lost"
"678","1992","Mary McDonnell","Passion Fish","Actress","Lost"
"679","1992","Michelle Pfeiffer","Love Field","Actress","Lost"
"680","1992","Susan Sarandon","Lorenzo's Oil","Actress","Lost"
"681","1993","Holly Hunter","The Piano","Actress","Won"
"682","1993","Angela Bassett","What's Love Got to Do with It","Actress","Lost"
"683","1993","Stockard Channing","Six Degrees of Separation","Actress","Lost"
"684","1993","Emma Thompson","The Remains of the Day","Actress","Lost"
"685","1993","Debra Winger","Shadowlands","Actress","Lost"
"686","1994","Jessica Lange","Blue Sky","Actress","Won"
"687","1994","Jodie Foster","Nell","Actress","Lost"
"688","1994","Miranda Richardson","Tom & Viv","Actress","Lost"
"689","1994","Winona Ryder","Little Women","Actress","Lost"
"690","1994","Susan Sarandon","The Client","Actress","Lost"
"691","1995","Susan Sarandon","Dead Man Walking","Actress","Won"
"692","1995","Elisabeth Shue","Leaving Las Vegas","Actress","Lost"
"693","1995","Sharon Stone","Casino","Actress","Lost"
"694","1995","Meryl Streep","The Bridges of Madison County","Actress","Lost"
"695","1995","Emma Thompson","Sense and Sensibility","Actress","Lost"
"696","1996","Frances McDormand","Fargo","Actress","Won"
"697","1996","Brenda Blethyn","Secrets & Lies","Actress","Lost"
"698","1996","Diane Keaton","Marvin's Room","Actress","Lost"
"699","1996","Kristin Scott Thomas","The English Patient","Actress","Lost"
"700","1996","Emily Watson","Breaking the Waves","Actress","Lost"
"701","1997","Helen Hunt","As Good as It Gets","Actress","Won"
"702","1997","Helena Bonham Carter","The Wings of the Dove","Actress","Lost"
"703","1997","Julie Christie","Afterglow","Actress","Lost"
"704","1997","Judi Dench","Mrs Brown","Actress","Lost"
"705","1997","Kate Winslet","Titanic","Actress","Lost"
"706","1998","Gwyneth Paltrow","Shakespeare in Love","Actress","Won"
"707","1998","Cate Blanchett","Elizabeth","Actress","Lost"
"708","1998","Fernanda Montenegro","Central Station","Actress","Lost"
"709","1998","Meryl Streep","One True Thing","Actress","Lost"
"710","1998","Emily Watson","Hilary and Jackie","Actress","Lost"
"711","1999","Hilary Swank","Boys Don't Cry","Actress","Won"
"712","1999","Annette Bening","American Beauty","Actress","Lost"
"713","1999","Janet McTeer","Tumbleweeds","Actress","Lost"
"714","1999","Julianne Moore","The End of the Affair","Actress","Lost"
"715","1999","Meryl Streep","Music of the Heart","Actress","Lost"
"716","2000","Julia Roberts","Erin Brockovich","Actress","Won"
"717","2000","Joan Allen","The Contender","Actress","Lost"
"718","2000","Juliette Binoche","Chocolat","Actress","Lost"
"719","2000","Ellen Burstyn","Requiem for a Dream","Actress","Lost"
"720","2000","Laura Linney","You Can Count on Me","Actress","Lost"
"721","2001","Halle Berry","Monster's Ball","Actress","Won"
"722","2001","Judi Dench","Iris","Actress","Lost"
"723","2001","Nicole Kidman","Moulin Rouge!","Actress","Lost"
"724","2001","Sissy Spacek","In the Bedroom","Actress","Lost"
"725","2001","Renée Zellweger","Bridget Jones's Diary","Actress","Lost"
"726","2002","Nicole Kidman","The Hours","Actress","Won"
"727","2002","Salma Hayek","Frida","Actress","Lost"
"728","2002","Diane Lane","Unfaithful","Actress","Lost"
"729","2002","Julianne Moore","Far from Heaven","Actress","Lost"
"730","2002","Renée Zellweger","Chicago","Actress","Lost"
"731","2003","Charlize Theron","Monster","Actress","Won"
"732","2003","Keisha Castle-Hughes","Whale Rider","Actress","Lost"
"733","2003","Diane Keaton","Something's Gotta Give","Actress","Lost"
"734","2003","Samantha Morton","In America","Actress","Lost"
"735","2003","Naomi Watts","21 Grams","Actress","Lost"
"736","2004","Hilary Swank","Million Dollar Baby","Actress","Won"
"737","2004","Annette Bening","Being Julia","Actress","Lost"
"738","2004","Catalina Sandino Moreno","Maria Full of Grace","Actress","Lost"
"739","2004","Imelda Staunton","Vera Drake","Actress","Lost"
"740","2004","Kate Winslet","Eternal Sunshine of the Spotless Mind","Actress","Lost"
"741","2005","Reese Witherspoon","Walk the Line","Actress","Won"
"742","2005","Judi Dench","Mrs Henderson Presents","Actress","Lost"
"743","2005","Felicity Huffman","Transamerica","Actress","Lost"
"744","2005","Keira Knightley","Pride & Prejudice","Actress","Lost"
"745","2005","Charlize Theron","North Country","Actress","Lost"
"746","2006","Helen Mirren","The Queen","Actress","Won"
"747","2006","Penélope Cruz","Volver","Actress","Lost"
"748","2006","Judi Dench","Notes on a Scandal","Actress","Lost"
"749","2006","Meryl Streep","The Devil Wears Prada","Actress","Lost"
"750","2006","Kate Winslet","Little Children","Actress","Lost"
"751","2007","Marion Cotillard","La Vie en Rose","Actress","Won"
"752","2007","Cate Blanchett","Elizabeth: The Golden Age","Actress","Lost"
"753","2007","Julie Christie","Away from Her","Actress","Lost"
"754","2007","Laura Linney","The Savages","Actress","Lost"
"755","2007","Ellen Page","Juno","Actress","Lost"
"756","2008","Kate Winslet","The Reader","Actress","Won"
"757","2008","Anne Hathaway","Rachel Getting Married","Actress","Lost"
"758","2008","Angelina Jolie","Changeling","Actress","Lost"
"759","2008","Melissa Leo","Frozen River","Actress","Lost"
"760","2008","Meryl Streep","Doubt","Actress","Lost"
"761","2009","Sandra Bullock","The Blind Side","Actress","Won"
"762","2009","Helen Mirren","The Last Station","Actress","Lost"
"763","2009","Carey Mulligan","An Education","Actress","Lost"
"764","2009","Gabourey Sidibe","Precious","Actress","Lost"
"765","2009","Meryl Streep","Julie & Julia","Actress","Lost"
"766","2010","Natalie Portman","Black Swan","Actress","Won"
"767","2010","Annette Bening","The Kids Are All Right","Actress","Lost"
"768","2010","Nicole Kidman","Rabbit Hole","Actress","Lost"
"769","2010","Jennifer Lawrence","Winter's Bone","Actress","Lost"
"770","2010","Michelle Williams","Blue Valentine","Actress","Lost"
"771","2011","Meryl Streep","The Iron Lady","Actress","Won"
"772","2011","Glenn Close","Albert Nobbs","Actress","Lost"
"773","2011","Viola Davis","The Help","Actress","Lost"
"774","2011","Rooney Mara","The Girl with the Dragon Tattoo","Actress","Lost"
"775","2011","Michelle Williams","My Week with Marilyn","Actress","Lost"
"776","2012","Jennifer Lawrence","Silver Linings Playbook","Actress","Won"
"777","2012","Jessica Chastain","Zero Dark Thirty","Actress","Lost"
"778","2012","Emmanuelle Riva","Amour","Actress","Lost"
"779","2012","Quvenzhané Wallis","Beasts of the Southern Wild","Actress","Lost"
"780","2012","Naomi Watts","The Impossible","Actress","Lost"
"781","2013","Cate Blanchett","Blue Jasmine","Actress","Won"
"782","2013","Amy Adams","American Hustle","Actress","Lost"
"783","2013","Sandra Bullock","Gravity","Actress","Lost"
"784","2013","Judi Dench","Philomena","Actress","Lost"
"785","2013","Meryl Streep","August: Osage County","Actress","Lost"
"786","2014","Julianne Moore","Still Alice","Actress","Won"
"787","2014","Marion Cotillard","Two Days, One Night","Actress","Lost"
"788","2014","Felicity Jones","The Theory of Everything","Actress","Lost"
"789","2014","Rosamund Pike","Gone Girl","Actress","Lost"
"790","2014","Reese Witherspoon","Wild","Actress","Lost"
"791","1936","Walter Brennan","Come and Get It","Supporting Actor","Won"
"792","1936","Mischa Auer","My Man Godfrey","Supporting Actor","Lost"
"793","1936","Stuart Erwin","Pigskin Parade","Supporting Actor","Lost"
"794","1936","Basil Rathbone","Romeo and Juliet","Supporting Actor","Lost"
"795","1936","Akim Tamiroff","The General Died at Dawn","Supporting Actor","Lost"
"796","1937","Joseph Schildkraut","The Life of Emile Zola","Supporting Actor","Won"
"797","1937","Ralph Bellamy","The Awful Truth","Supporting Actor","Lost"
"798","1937","Thomas Mitchell","The Hurricane","Supporting Actor","Lost"
"799","1937","H. B. Warner","Lost Horizon","Supporting Actor","Lost"
"800","1937","Roland Young","Topper","Supporting Actor","Lost"
"801","1938","Walter Brennan","Kentucky","Supporting Actor","Won"
"802","1938","John Garfield","Four Daughters","Supporting Actor","Lost"
"803","1938","Gene Lockhart","Algiers","Supporting Actor","Lost"
"804","1938","Robert Morley","Marie Antoinette","Supporting Actor","Lost"
"805","1938","Basil Rathbone","If I Were King","Supporting Actor","Lost"
"806","1939","Thomas Mitchell","Stagecoach","Supporting Actor","Won"
"807","1939","Brian Aherne","Juarez","Supporting Actor","Lost"
"808","1939","Harry Carey","Mr. Smith Goes to Washington","Supporting Actor","Lost"
"809","1939","Brian Donlevy","Beau Geste","Supporting Actor","Lost"
"810","1939","Claude Rains","Mr. Smith Goes to Washington","Supporting Actor","Lost"
"811","1940","Walter Brennan","The Westerner","Supporting Actor","Won"
"812","1940","Albert Basserman","Foreign Correspondent","Supporting Actor","Lost"
"813","1940","William Gargan","They Knew What They Wanted","Supporting Actor","Lost"
"814","1940","Jack Oakie","The Great Dictator","Supporting Actor","Lost"
"815","1940","James Stephenson","The Letter","Supporting Actor","Lost"
"816","1941","Donald Crisp","How Green Was My Valley","Supporting Actor","Won"
"817","1941","Walter Brennan","Sergeant York","Supporting Actor","Lost"
"818","1941","Charles Coburn","The Devil and Miss Jones","Supporting Actor","Lost"
"819","1941","James Gleason","Here Comes Mr. Jordan","Supporting Actor","Lost"
"820","1941","Sydney Greenstreet","The Maltese Falcon","Supporting Actor","Lost"
"821","1942","Van Heflin","Johnny Eager","Supporting Actor","Won"
"822","1942","William Bendix","Wake Island","Supporting Actor","Lost"
"823","1942","Walter Huston","Yankee Doodle Dandy","Supporting Actor","Lost"
"824","1942","Frank Morgan","Tortilla Flat","Supporting Actor","Lost"
"825","1942","Henry Travers","Mrs. Miniver","Supporting Actor","Lost"
"826","1943","Charles Coburn","The More the Merrier","Supporting Actor","Won"
"827","1943","Charles Bickford","The Song of Bernadette","Supporting Actor","Lost"
"828","1943","J. Carrol Naish","Sahara","Supporting Actor","Lost"
"829","1943","Claude Rains","Casablanca","Supporting Actor","Lost"
"830","1943","Akim Tamiroff","For Whom the Bell Tolls","Supporting Actor","Lost"
"831","1944","Barry Fitzgerald","Going My Way","Supporting Actor","Won"
"832","1944","Hume Cronyn","The Seventh Cross","Supporting Actor","Lost"
"833","1944","Claude Rains","Mr. Skeffington","Supporting Actor","Lost"
"834","1944","Clifton Webb","Laura","Supporting Actor","Lost"
"835","1944","Monty Woolley","Since You Went Away","Supporting Actor","Lost"
"836","1945","James Dunn","A Tree Grows in Brooklyn","Supporting Actor","Won"
"837","1945","Michael Chekhov","Spellbound","Supporting Actor","Lost"
"838","1945","John Dall","The Corn Is Green","Supporting Actor","Lost"
"839","1945","Robert Mitchum","The Story of G.I. Joe","Supporting Actor","Lost"
"840","1945","J. Carrol Naish","A Medal for Benny","Supporting Actor","Lost"
"841","1946","Harold Russell","The Best Years of Our Lives","Supporting Actor","Won"
"842","1946","Charles Coburn","The Green Years","Supporting Actor","Lost"
"843","1946","William Demarest","The Jolson Story","Supporting Actor","Lost"
"844","1946","Claude Rains","Notorious","Supporting Actor","Lost"
"845","1946","Clifton Webb","The Razor's Edge","Supporting Actor","Lost"
"846","1947","Edmund Gwenn","Miracle on 34th Street","Supporting Actor","Won"
"847","1947","Charles Bickford","The Farmer's Daughter","Supporting Actor","Lost"
"848","1947","Thomas Gomez","Ride the Pink Horse","Supporting Actor","Lost"
"849","1947","Robert Ryan","Crossfire","Supporting Actor","Lost"
"850","1947","Richard Widmark","Kiss of Death","Supporting Actor","Lost"
"851","1948","Walter Huston","The Treasure of the Sierra Madre","Supporting Actor","Won"
"852","1948","Charles Bickford","Johnny Belinda","Supporting Actor","Lost"
"853","1948","José Ferrer","Joan of Arc","Supporting Actor","Lost"
"854","1948","Oskar Homolka","I Remember Mama","Supporting Actor","Lost"
"855","1948","Cecil Kellaway","The Luck of the Irish","Supporting Actor","Lost"
"856","1949","Dean Jagger","Twelve O'Clock High","Supporting Actor","Won"
"857","1949","John Ireland","All the King's Men","Supporting Actor","Lost"
"858","1949","Arthur Kennedy","Champion","Supporting Actor","Lost"
"859","1949","Ralph Richardson","The Heiress","Supporting Actor","Lost"
"860","1949","James Whitmore","Battleground","Supporting Actor","Lost"
"861","1950","George Sanders","All About Eve","Supporting Actor","Won"
"862","1950","Jeff Chandler","Broken Arrow","Supporting Actor","Lost"
"863","1950","Edmund Gwenn","Mister 880","Supporting Actor","Lost"
"864","1950","Sam Jaffe","The Asphalt Jungle","Supporting Actor","Lost"
"865","1950","Erich von Stroheim","Sunset Boulevard","Supporting Actor","Lost"
"866","1951","Karl Malden","A Streetcar Named Desire","Supporting Actor","Won"
"867","1951","Leo Genn","Quo Vadis","Supporting Actor","Lost"
"868","1951","Kevin McCarthy","Death of a Salesman","Supporting Actor","Lost"
"869","1951","Peter Ustinov","Quo Vadis","Supporting Actor","Lost"
"870","1951","Gig Young","Come Fill the Cup","Supporting Actor","Lost"
"871","1952","Anthony Quinn","Viva Zapata!","Supporting Actor","Won"
"872","1952","Richard Burton","My Cousin Rachel","Supporting Actor","Lost"
"873","1952","Arthur Hunnicutt","The Big Sky","Supporting Actor","Lost"
"874","1952","Victor McLaglen","The Quiet Man","Supporting Actor","Lost"
"875","1952","Jack Palance","Sudden Fear","Supporting Actor","Lost"
"876","1953","Frank Sinatra","From Here to Eternity","Supporting Actor","Won"
"877","1953","Eddie Albert","Roman Holiday","Supporting Actor","Lost"
"878","1953","Brandon deWilde","Shane","Supporting Actor","Lost"
"879","1953","Jack Palance","Shane","Supporting Actor","Lost"
"880","1953","Robert Strauss","Stalag 17","Supporting Actor","Lost"
"881","1954","Edmond O'Brien","The Barefoot Contessa","Supporting Actor","Won"
"882","1954","Lee J. Cobb","On the Waterfront","Supporting Actor","Lost"
"883","1954","Karl Malden","On the Waterfront","Supporting Actor","Lost"
"884","1954","Rod Steiger","On the Waterfront","Supporting Actor","Lost"
"885","1954","Tom Tully","The Caine Mutiny","Supporting Actor","Lost"
"886","1955","Jack Lemmon","Mister Roberts","Supporting Actor","Won"
"887","1955","Arthur Kennedy","Trial","Supporting Actor","Lost"
"888","1955","Joe Mantell","Marty","Supporting Actor","Lost"
"889","1955","Sal Mineo","Rebel Without a Cause","Supporting Actor","Lost"
"890","1955","Arthur O'Connell","Picnic","Supporting Actor","Lost"
"891","1956","Anthony Quinn","Lust for Life","Supporting Actor","Won"
"892","1956","Don Murray","Bus Stop","Supporting Actor","Lost"
"893","1956","Anthony Perkins","Friendly Persuasion","Supporting Actor","Lost"
"894","1956","Mickey Rooney","The Bold and the Brave","Supporting Actor","Lost"
"895","1956","Robert Stack","Written on the Wind","Supporting Actor","Lost"
"896","1957","Red Buttons","Sayonara","Supporting Actor","Won"
"897","1957","Vittorio De Sica","A Farewell to Arms","Supporting Actor","Lost"
"898","1957","Sessue Hayakawa","The Bridge on the River Kwai","Supporting Actor","Lost"
"899","1957","Arthur Kennedy","Peyton Place","Supporting Actor","Lost"
"900","1957","Russ Tamblyn","Peyton Place","Supporting Actor","Lost"
"901","1958","Burl Ives","The Big Country","Supporting Actor","Won"
"902","1958","Theodore Bikel","The Defiant Ones","Supporting Actor","Lost"
"903","1958","Lee J. Cobb","The Brothers Karamazov","Supporting Actor","Lost"
"904","1958","Arthur Kennedy","Some Came Running","Supporting Actor","Lost"
"905","1958","Gig Young","Teacher's Pet","Supporting Actor","Lost"
"906","1959","Hugh Griffith","Ben-Hur","Supporting Actor","Won"
"907","1959","Arthur O'Connell","Anatomy of a Murder","Supporting Actor","Lost"
"908","1959","George C. Scott","Anatomy of a Murder","Supporting Actor","Lost"
"909","1959","Robert Vaughn","The Young Philadelphians","Supporting Actor","Lost"
"910","1959","Ed Wynn","The Diary of Anne Frank","Supporting Actor","Lost"
"911","1960","Peter Ustinov","Spartacus","Supporting Actor","Won"
"912","1960","Peter Falk","Murder, Inc.","Supporting Actor","Lost"
"913","1960","Jack Kruschen","The Apartment","Supporting Actor","Lost"
"914","1960","Sal Mineo","Exodus","Supporting Actor","Lost"
"915","1960","Chill Wills","The Alamo","Supporting Actor","Lost"
"916","1961","George Chakiris","West Side Story","Supporting Actor","Won"
"917","1961","Montgomery Clift","Judgment at Nuremberg","Supporting Actor","Lost"
"918","1961","Peter Falk","Pocketful of Miracles","Supporting Actor","Lost"
"919","1961","Jackie Gleason","The Hustler","Supporting Actor","Lost"
"920","1961","George C. Scott [A]","The Hustler","Supporting Actor","Lost"
"921","1962","Ed Begley","Sweet Bird of Youth","Supporting Actor","Won"
"922","1962","Victor Buono","What Ever Happened to Baby Jane?","Supporting Actor","Lost"
"923","1962","Telly Savalas","Birdman of Alcatraz","Supporting Actor","Lost"
"924","1962","Omar Sharif","Lawrence of Arabia","Supporting Actor","Lost"
"925","1962","Terence Stamp","Billy Budd","Supporting Actor","Lost"
"926","1963","Melvyn Douglas","Hud","Supporting Actor","Won"
"927","1963","Nick Adams","Twilight of Honor","Supporting Actor","Lost"
"928","1963","Bobby Darin","Captain Newman, M.D.","Supporting Actor","Lost"
"929","1963","Hugh Griffith","Tom Jones","Supporting Actor","Lost"
"930","1963","John Huston","The Cardinal","Supporting Actor","Lost"
"931","1964","Peter Ustinov","Topkapi","Supporting Actor","Won"
"932","1964","John Gielgud","Becket","Supporting Actor","Lost"
"933","1964","Stanley Holloway","My Fair Lady","Supporting Actor","Lost"
"934","1964","Edmond O'Brien","Seven Days in May","Supporting Actor","Lost"
"935","1964","Lee Tracy","The Best Man","Supporting Actor","Lost"
"936","1965","Martin Balsam","A Thousand Clowns","Supporting Actor","Won"
"937","1965","Ian Bannen","The Flight of the Phoenix","Supporting Actor","Lost"
"938","1965","Tom Courtenay","Doctor Zhivago","Supporting Actor","Lost"
"939","1965","Michael Dunn","Ship of Fools","Supporting Actor","Lost"
"940","1965","Frank Finlay","Othello","Supporting Actor","Lost"
"941","1966","Walter Matthau","The Fortune Cookie","Supporting Actor","Won"
"942","1966","Mako","The Sand Pebbles","Supporting Actor","Lost"
"943","1966","James Mason","Georgy Girl","Supporting Actor","Lost"
